name,bot #,year,month,day,hour,min,sec,reading count,trial length,amb temp,track motor temp,track drive temp,track current,track rpm,all prof track follow err,conveyer drive temp,conveyer current,conveyer rpm,u asc,u dsc,u ht,u hb,u tcu,u tcd,u bcu,u bcd,l asc,l dsc,l ht,l hb,l tcu,l tcd,l bcu,l bcd
iBot117_20190328_105033,117.0,2019.0,3.0,28.0,10.0,50.0,33.0,93431.0,-0.00185,231.0,225.0,250.0,0.0,0.0,0.0,6188.0,250.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iBot117_20190329_070242,117.0,2019.0,3.0,29.0,7.0,2.0,42.0,38877.0,62.68086667,302.0,273.0,400.0,0.0,0.0,0.0,6245.0,410.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iBot117_20190329_081241,117.0,2019.0,3.0,29.0,8.0,12.0,41.0,194694.0,348.1804833,305.0,537.0,450.0,1607.0,7412.0,0.0,6260.0,430.0,0.0,94.0,63.0,80.0,71.0,39.0,21.0,39.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iBot120_20190227_085831,120.0,2019.0,2.0,27.0,8.0,58.0,31.0,2759.0,7.096516667,256.0,600.0,450.0,1694.0,7751.0,0.0,6207.0,300.0,0.0,51.0,33.0,67.0,88.0,21.0,20.0,32.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iBot120_20190301_145031,120.0,2019.0,3.0,1.0,14.0,50.0,31.0,3886.0,-0.011716667,250.0,532.0,420.0,1859.0,7727.0,0.0,6207.0,300.0,0.0,54.0,64.0,53.0,55.0,22.0,42.0,25.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iBot117_20190226_144341,117.0,2019.0,2.0,26.0,14.0,43.0,41.0,3630.0,6.670166667,252.0,513.0,450.0,1861.0,7724.0,0.0,6197.0,330.0,0.0,61.0,67.0,40.0,60.0,20.0,23.0,26.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iBot116_20190612_134246,116.0,2019.0,6.0,12.0,13.0,42.0,46.0,9341.0,62.66336667,343.0,742.0,600.0,1696.0,6123.0,0.0,6304.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,146.0,9.0,25.0,28.0,8.0,8.0,58.0
iBot116_20190523_063613,116.0,2019.0,5.0,23.0,6.0,36.0,13.0,586339.0,233.4310667,366.0,841.0,670.0,2075.0,6336.0,0.0,6324.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,263.0,23.0,34.0,47.0,17.0,20.0,224.0
iBot116_20190424_063231,116.0,2019.0,4.0,24.0,6.0,32.0,31.0,554915.0,215.6153333,372.0,839.0,720.0,2049.0,6284.0,0.0,6330.0,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,263.0,21.0,34.0,40.0,14.0,16.0,171.0
iBot116_20190423_134029,116.0,2019.0,4.0,23.0,13.0,40.0,29.0,102203.0,-0.000233333,339.0,6258.0,700.0,2017.0,6503.0,59.0,6294.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,179.0,23.0,32.0,37.0,16.0,15.0,137.0
