name,bot #,year,month,day,hour,min,sec,reading count,slow pos err avg,slow pos err std,slow pos err avg+3s,slow vel err avg,slow vel err std,slow vel err avg+3s,slow phaseA avg,slow phaseA std,slow phaseA avg+3s,fast pos err avg,fast pos err std,fast pos err avg+3s,fast vel err avg,fast vel err std,fast vel err avg+3s,fast phaseA avg,fast phaseA std,fast phaseA avg+3s
AVG,-,-,-,-,-,-,-,-,-,-,2.4327979871370427,-,-,688.265847211711,-,-,2.4490840566605296,-,-,1228.9529105347804,-,-,63386.82416324151,-,-,21.267996766788134
STD,-,-,-,-,-,-,-,-,-,-,1.5422997632059463,-,-,370.5134842673542,-,-,0.9500708500903087,-,-,1527.9911854149111,-,-,74710.22196884087,-,-,17.549032134455295
AVG + 3*STD,-,-,-,-,-,-,-,-,-,-,7.059697276754882,-,-,1799.8063000137736,-,-,5.299296606931456,-,-,5812.926466779513,-,-,287517.4900697641,-,-,73.91509317015402
iBot999 20190401 103244,999.0,2019.0,4.0,1.0,10.0,32.0,44.0,1023.0,0.833766234,0.748889871,3.080435847,554.4701299,352.4446452,1611.804065,1.487161294,0.836622296,3.997028181,1.973312402,2.963760761,10.86459468,413.6024802,300.7001441,1315.702912,0.346994819,0.476167385,1.775496974
iBot999 20190401 103244,999.0,2019.0,4.0,1.0,10.0,32.0,44.0,1023.0,0.833766234,0.748889871,3.080435847,554.4701299,352.4446452,1611.804065,1.487161294,0.836622296,3.997028181,1.973312402,2.963760761,10.86459468,413.6024802,300.7001441,1315.702912,0.346994819,0.476167385,1.775496974
iBot125 20190408 134124,125.0,2019.0,4.0,8.0,13.0,41.0,24.0,1023.0,0.033766233766233764,0.18086193342170973,0.5763520340313629,123.50519480519647,89.05163105624199,390.66008797392243,1.1140260855324675,0.5718953285323184,2.829712071129423,304.4050235478807,480.41015872237244,1745.635499714998,15923.396317425431,24531.162947968252,89516.88516133018,5.213627289356358,10.198955848607568,35.810494835179064
iBot125 20190409 112526,125.0,2019.0,4.0,9.0,11.0,25.0,26.0,1023.0,0.03617571059431524,0.18696886812204408,0.5970823149604475,207.43074935400546,155.05276892230276,672.5890561209137,0.7530011173901808,0.39723052503767203,1.9446926925031969,858.7763779527559,1043.7609941963665,3990.0593605418553,39645.74166582677,50779.946198244084,191985.580260559,7.773552545307086,12.257596317669167,44.54634149831458
iBot126 20190412 091630,126.0,2019.0,4.0,12.0,9.0,16.0,30.0,1023.0,0.05714285714285714,0.23241742005034208,0.7543951172938834,174.96441558441595,153.23485466295386,634.6689795732775,1.3980851327272728,0.7055318760201172,3.5146807607876243,291.032967032967,471.049728155895,1704.182151500652,16016.595343171115,25378.715564523925,92152.74203674289,5.585552698540031,10.623599279444155,37.45635053687249
iBot120 20190404 103353,120.0,2019.0,4.0,4.0,10.0,33.0,53.0,1023.0,0.6233766233766234,0.5410002560593452,2.2463773915546588,152.62519480519526,106.74787938968052,472.86883297423685,1.107584449948052,0.6224894659443543,2.975052847781115,767.0533751962323,971.5869338883598,3681.8141768613114,36329.93887676609,47541.829823988846,178955.42834873265,7.032298405431711,11.545926740148959,41.67007862587859
iBot999 20190408 134437,999.0,2019.0,4.0,8.0,13.0,44.0,37.0,1023.0,0.7435233160621761,0.7688899204987406,3.050193077558398,155.98290155440463,114.98722376404135,500.9445728465287,0.6464470148445596,0.3262827690815244,1.6252953220891329,15.334905660377359,18.698421555107355,71.43017032569942,848.7778877358489,1962.260359987362,6735.558967697935,1.9904717726257861,2.1148232798292637,8.334941612113578
