name,bot #,year,month,day,hour,min,sec,reading_count,slow_pos_err_avg,slow_pos_err_std,slow_pos_err_avg+3s,slow_vel_err_avg,slow_vel_err_std,slow_vel_err_avg+3s,slow_phaseA_avg,slow_phaseA_std,slow_phaseA_avg+3s,fast_pos_err_avg,fast_pos_err_std,fast_pos_err_avg+3s,fast_vel_err_avg,fast_vel_err_std,fast_vel_err_avg+3s,fast_phaseA_avg,fast_phaseA_std,fast_phaseA_avg+3s
AVG,-,-,-,-,-,-,-,-,-,-,1.8335765107479527,-,-,1071.7143185237092,-,-,3.192115281408155,-,-,1439.3560124042133,-,-,71033.46781147229,-,-,20.97695757037341
STD,-,-,-,-,-,-,-,-,-,-,1.439774020447802,-,-,634.173926862211,-,-,0.9971908466603208,-,-,1886.8907542631607,-,-,90723.35918968487,-,-,22.456935562666242
AVG + 3*STD,-,-,-,-,-,-,-,-,-,-,6.15289857209136,-,-,2974.2360991103424,-,-,6.1836878213891175,-,-,7100.028275193696,-,-,343203.5453805269,-,-,88.34776425837214
iBot999_20190401_103244,999.0,2019.0,4.0,1.0,10.0,32.0,44.0,1023.0,0.833766234,0.748889871,3.080435847,554.4701299,352.4446452,1611.804065,1.487161294,0.836622296,3.997028181,1.973312402,2.963760761,10.86459468,413.6024802,300.7001441,1315.702912,0.346994819,0.476167385,1.775496974
iBot999_20190401_103244,999.0,2019.0,4.0,1.0,10.0,32.0,44.0,1023.0,0.833766234,0.748889871,3.080435847,554.4701299,352.4446452,1611.804065,1.487161294,0.836622296,3.997028181,1.973312402,2.963760761,10.86459468,413.6024802,300.7001441,1315.702912,0.346994819,0.476167385,1.775496974
iBot125_20190408_134124,125.0,2019.0,4.0,8.0,13.0,41.0,24.0,1023.0,0.033766233766233764,0.18086193342170973,0.5763520340313629,123.50519480519647,89.05163105624199,390.66008797392243,1.1140260855324675,0.5718953285323184,2.829712071129423,304.4050235478807,480.41015872237244,1745.635499714998,15923.396317425431,24531.162947968252,89516.88516133018,5.213627289356358,10.198955848607568,35.810494835179064
iBot125_20190409_112526,125,2019,04,09,11,25,26,1023,0.03617571059431524,0.18696886812204408,0.5970823149604475,207.43074935400546,155.05276892230276,672.5890561209137,0.7530011173901808,0.39723052503767203,1.9446926925031969,858.7763779527559,1043.7609941963665,3990.0593605418553,39645.74166582677,50779.946198244084,191985.580260559,7.773552545307086,12.257596317669167,44.54634149831458
