name,bot #,year,month,day,hour,min,sec,reading_count,slow_pos_err_avg,slow_pos_err_std,slow_pos_err_avg+3s,slow_vel_err_avg,slow_vel_err_std,slow_vel_err_avg+3s,slow_phaseA_avg,slow_phaseA_std,slow_phaseA_avg+3s,fast_pos_err_avg,fast_pos_err_std,fast_pos_err_avg+3s,fast_vel_err_avg,fast_vel_err_std,fast_vel_err_avg+3s,fast_phaseA_avg,fast_phaseA_std,fast_phaseA_avg+3s
iBot131_20190508_145059,131.0,2019.0,5.0,8.0,14.0,50.0,59.0,1023.0,0.129198966,0.335854226,1.136761645,81.17105943,57.46474422,253.5652921,0.797416025,0.398360243,1.992496755,580.4267717,774.5425141,2904.054314,28797.9675,39342.27311,146824.7868,6.370019735,11.25435144,40.13307405
iBot132_20190510_074140,132.0,2019.0,5.0,10.0,7.0,41.0,40.0,1023.0,0.020725389,0.142648391,0.448670561,133.7028497,110.281986,464.5488077,0.987054023,0.495743813,2.474285461,257.3066038,416.427565,1506.589299,14322.06645,22877.25948,82953.84488,5.319793188,10.29784537,36.2133293
iBot132_20190521_093549,132.0,2019.0,5.0,21.0,9.0,35.0,49.0,1023.0,0.774793388,0.78078964,3.117162309,157.4657025,130.4118502,548.701253,1.066877453,0.531828939,2.662364271,14.41449814,18.88052049,71.0560596,749.5961072,1847.628568,6292.481812,1.933759824,2.233855319,8.635325779
iBot133_20190509_101445,133.0,2019.0,5.0,9.0,10.0,14.0,45.0,1023.0,0.03125,0.174219633,0.553908898,138.4643229,82.93374595,387.2655608,1.003749954,0.49747017,2.496160463,276.8510972,436.067835,1585.054602,15314.21003,24151.50761,87768.73286,5.011907886,10.05044755,35.16325054
iBot134_20190510_102026,134.0,2019.0,5.0,10.0,10.0,20.0,26.0,1023.0,0.049350649,0.21688093,0.699993438,148.6244156,94.03748519,430.7368712,1.245165097,0.617790534,3.098536699,271.6169545,439.9862,1591.575554,14855.94954,23527.82669,85439.42962,5.437255065,10.47868473,36.87330927
iBot135_20190510_111454,135.0,2019.0,5.0,10.0,11.0,14.0,54.0,1023.0,0.043927649,0.205199448,0.659525992,251.8369509,144.2557336,684.6041518,1.147641039,0.55850305,2.823150189,296.480315,466.0194051,1694.53853,16219.10795,25098.59202,91514.88401,5.19802495,10.18261446,35.74586834
iBot136_20190510_134633,136.0,2019.0,5.0,10.0,13.0,46.0,33.0,1023.0,0.124031008,0.330043613,1.114161847,241.3180879,152.7163437,699.467119,1.322074612,0.668547331,3.327716605,381.5212598,576.0337142,2109.622402,20696.58584,30502.08734,112202.8479,6.024665465,11.15809952,39.49896402
iBot138_20190521_083211,138.0,2019.0,5.0,21.0,8.0,32.0,11.0,1023.0,0.200828157,0.518375352,1.755954214,154.5645963,116.8716287,505.1794825,1.234906739,0.609418954,3.0631636,11.96289425,14.25297581,54.72182168,583.936874,1425.748328,4861.181857,1.489377381,1.810176062,6.919905568
iBot139_20190522_134427,139.0,2019.0,5.0,22.0,13.0,44.0,27.0,1023.0,0.023255814,0.15091,0.475985815,145.9116279,78.28252602,380.759206,0.746807171,0.367377915,1.848940916,593.6031496,794.5989723,2977.400067,29242.31676,39772.56868,148560.0228,6.587370659,11.25064029,40.33929153
iBot140_20190522_103940,140.0,2019.0,5.0,22.0,10.0,39.0,40.0,1023.0,0.028497409,0.166604973,0.528312327,212.6857513,125.9024484,590.3930966,1.196343519,0.598912956,2.993082386,275.5125786,442.3927156,1602.690725,15113.96509,23992.60488,87091.77973,5.45172858,10.43946395,36.77012043
iBot141_20190522_144121,141.0,2019.0,5.0,22.0,14.0,41.0,21.0,1023.0,0.038961039,0.193753927,0.620222821,208.3688312,163.9000611,700.0690143,0.737128042,0.373617944,1.857981874,520.5117739,694.7738978,2604.833467,24990.21139,34788.22503,129354.8865,6.40725681,11.39207991,40.58349654
iBot116_20190423_093712,116.0,2019.0,4.0,23.0,9.0,37.0,12.0,1023.0,0.171428571,0.384212243,1.3240653,416.0083117,276.2412971,1244.732203,0.651235722,0.409853594,1.880796505,16.55729984,27.35646241,98.62668707,1997.974199,4050.360109,14149.05453,2.633209216,5.565797335,19.33060122
iBot116_20190520_101344,116.0,2019.0,5.0,20.0,10.0,13.0,44.0,1023.0,0.53626943,0.5345036,2.139780231,463.8595855,315.1287889,1409.245952,0.499267146,0.307852447,1.422824488,16.37106918,26.99006605,97.34126735,1584.381813,3490.13235,12054.77886,2.38108724,5.273873533,18.20270784
iBot134_20190510_102026,134,2019,05,10,10,20,26,1023,0.04935064935064935,0.2168809296880149,0.6999934384146941,148.62441558441597,94.03748519115497,430.73687115788084,1.2451650966233767,0.6177905339801557,3.098536698563844,271.6169544740973,439.9861999995923,1591.5755544728743,14855.949535164835,23527.826694723448,85439.42961933518,5.437255065117739,10.478684733468548,36.87330926552338
