name,bot #,year,month,day,hour,min,sec,reading_count,slow_pos_err_avg,slow_pos_err_std,slow_pos_err_avg+3s,slow_vel_err_avg,slow_vel_err_std,slow_vel_err_avg+3s,slow_phaseA_avg,slow_phaseA_std,slow_phaseA_avg+3s,fast_pos_err_avg,fast_pos_err_std,fast_pos_err_avg+3s,fast_vel_err_avg,fast_vel_err_std,fast_vel_err_avg+3s,fast_phaseA_avg,fast_phaseA_std,fast_phaseA_avg+3s
AVG,-,-,-,-,-,-,-,-,-,-,2.231163781028956,-,-,668.1090484397891,-,-,1.8967929629886822,-,-,661.2239634781326,-,-,38367.14157733689,-,-,16.497551063971567
STD,-,-,-,-,-,-,-,-,-,-,1.0542722112866556,-,-,327.9975195179413,-,-,0.5361936179756028,-,-,1197.534349459376,-,-,59759.73301109527,-,-,14.17823796048915
AVG + 3*STD,-,-,-,-,-,-,-,-,-,-,5.393980414888922,-,-,1652.1016069936131,-,-,3.5053738169154904,-,-,4253.8270118562605,-,-,217646.34061062272,-,-,59.032264945439024
iBot571_20190506_101012,571.0,2019.0,5.0,6.0,10.0,10.0,12.0,1023.0,0.186046512,0.505423055,1.702315676,138.945478,145.6740982,575.9677728,0.820147578,0.40513438,2.035550718,12.97322835,14.92011033,57.73355933,650.7288337,1528.091211,5235.002465,1.546074356,1.667735338,6.549280371
iBot126_20190412_083321,126.0,2019.0,4.0,12.0,8.0,33.0,21.0,1023.0,0.049095607,0.228007723,0.733118777,175.8795866,121.3437517,539.9108418,1.032019222,0.518209275,2.586647047,226.6629921,360.4380394,1307.97711,13337.91206,21236.97336,77048.83213,5.272310584,10.51852398,36.82788254
iBot120_20190329_113714,120.0,2019.0,3.0,29.0,11.0,37.0,14.0,1023.0,0.5963541666666666,0.5369746405351875,2.207278088272229,166.2627604166669,120.85884174469558,528.8392856507536,0.9656696295052083,0.5590999391362905,2.64296944691408,808.9310344827586,998.057209301395,3803.1026623869434,38008.8071838558,49037.77022015655,185122.11784432543,7.470058453887147,12.048832541479179,43.616556078324685
iBot123_20190312_134058,123.0,2019.0,3.0,12.0,13.0,40.0,58.0,1023.0,0.19121447028423771,0.39376661639078897,1.3725143194566047,171.2467700258407,116.07580026833311,519.47417083084,0.5815430444186046,0.3375088168596249,1.5940694949974792,544.8283464566929,717.1259544364862,2696.2062097661515,29664.0839703937,39394.634330276494,147847.98696122319,6.91238690807874,12.122241062276316,43.279110094907686
iBot121_20190417_105410,121.0,2019.0,4.0,17.0,10.0,54.0,10.0,1023.0,0.43685300207039335,0.667602411935028,2.4396602378754775,149.4991718426506,119.70037004338919,508.60028197281815,0.6366045556728779,0.31706198205812997,1.5877905018472678,13.105751391465677,17.102847225444346,64.41429306779871,661.6673330241188,1552.113040980898,5318.0064559668135,1.737153514174397,1.8689859537240792,7.344111375346634
iBot999_20190408_132045,999.0,2019.0,4.0,8.0,13.0,20.0,45.0,1023.0,0.35550935550935553,0.6327978551110341,2.253902920842458,208.2459459459462,149.83243998571237,657.7432659030833,0.5193822448232849,0.2654792549436099,1.3158200096541146,12.33826247689464,16.345522547345897,61.37483011893234,646.3841181146026,1614.4141791116197,5489.626655449461,1.5581358004990757,1.7387962366678824,6.774524510502723
iBot999_20190408_132929,999.0,2019.0,4.0,8.0,13.0,29.0,29.0,1023.0,0.975051975051975,0.8109929917759048,3.4080309503796897,113.45239085239115,81.896157059699,359.14086203148815,0.5829343212474013,0.3009896054429496,1.4859031375762501,12.964879852125692,16.638327724752823,62.87986302638416,634.4154580406655,1598.8049037229127,5430.830169209404,1.5772114994639557,1.7704606333287323,6.888593399450152
