name,bot #,year,month,day,hour,min,sec,reading count,slow pos err for avg,slow pos err for std,slow pos for err avg+3s,slow vel for err avg,slow vel for err std,slow vel for err avg+3s,slow phaseA for avg,slow phaseA for std,slow phaseA for avg+3s,slow pos err back avg,slow pos err back std,slow pos back err avg+3s,slow vel back err avg,slow vel back err std,slow vel back err avg+3s,slow phaseA back avg,slow phaseA back std,slow phaseA back avg+3s,fast pos err for avg,fast pos err for std,fast pos err for avg+3s,fast vel for err avg,fast vel for err std,fast vel for err avg+3s,fast phaseA for avg,fast phaseA for std,fast phaseA for avg+3s,fast pos back err avg,fast pos back err std,fast pos back err avg+3s,fast vel back err avg,fast vel back err std,fast vel back err avg+3s,fast phaseA back avg,fast phaseA back std,fast phaseA back avg+3s
iBot126 20190710 165748,126.0,2019.0,7.0,10.0,16.0,57.0,48.0,1023.0,3.559210526,2.459563178,10.93790006,477.3789474,333.9950683,1479.364152,0.513153182,0.268766439,1.319452498,2.427631579,2.057459289,8.600009445,440.4072368,340.7977078,1462.80036,0.519595833,0.257872822,1.293214299,190.8041958,415.2147444,1436.448429,8694.442248,16396.50545,57883.95859,0.627127879,0.738869537,2.843736491,250.1384083,432.4231325,1547.407806,11085.53488,17789.31305,64453.47402,0.837842382,0.784056843,3.190012911
iBot126 20190710 140420,126.0,2019.0,7.0,10.0,14.0,4.0,20.0,1023.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0401786,418.4261801,1441.318719,8382.103886,16557.83981,58055.62331,0.497960787,0.811219902,2.931620494,134.3327526,352.0283372,1190.417764,6076.363001,14151.21741,48530.01524,0.61125059,0.632555781,2.508917934
iBot107 20190710 141230,107.0,2019.0,7.0,10.0,14.0,12.0,30.0,1023.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.5513393,378.6199975,1316.411332,8155.069315,15700.43188,55256.36496,0.53194993,0.820218128,2.992604314,138.9355401,359.4994645,1217.433933,6113.589353,14489.15326,49581.04913,0.62093582,0.625939699,2.498754917
iBot128 20190710 142112,128.0,2019.0,7.0,10.0,14.0,21.0,12.0,1023.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,498.5863309,978.8874682,3435.248736,15766.25177,28009.18726,99793.81355,0.55403773,0.895784173,3.241390249,141.4012876,554.380045,1804.541423,4002.253579,13538.18961,44616.8224,0.812076846,0.512845076,2.350612074
iBot128 20190709 135530,128.0,2019.0,7.0,9.0,13.0,55.0,30.0,1023.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.118568233,13.09697496,44.40949311,729.3667745,1196.911876,4320.102403,0.474531843,0.673711321,2.495665807,37.08869565,131.6848635,432.1432861,1619.781475,3521.280954,12183.62434,1.235819697,0.722375043,3.402944826
iBot128 20190710 142112,128.0,2019.0,7.0,10.0,14.0,21.0,12.0,1023.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,498.5863309352518,978.8874682088967,3435.248735561942,15766.25176618705,28009.18726079076,99793.81354855934,0.5540377300899281,0.895784172901789,3.2413902487952955,141.40128755364807,554.3800450240965,1804.5414226259375,4002.2535793991415,13538.1896060882,44616.822397663746,0.8120768462660944,0.5128450760689732,2.350612074473014
iBot126 20190710 165816,126.0,2019.0,7.0,10.0,16.0,58.0,16.0,1023.0,3.6447368421052633,2.398696927533124,10.840827624704636,460.86447368421085,317.93076559159,1414.6567704589809,0.5113299276315789,0.2634893664772108,1.3017980270632112,2.539473684210526,2.0519142377394806,8.695216397428968,425.3269736842109,316.6664091722796,1375.3262012010496,0.5108224142763158,0.2628076131273504,1.299245253658367,186.85813953488372,404.743685177631,1401.0891950677767,8470.337202325582,16149.784032924394,56919.68930109876,0.6540979952093023,0.7487739031454907,2.9004197046457745,240.38541666666666,418.26180978992767,1495.1708460364498,10808.528225694445,17453.05727049549,63167.70003718091,0.8603051368402778,0.7835881345921599,3.2110695406167573
iBot126 20190710 165643,126.0,2019.0,7.0,10.0,16.0,56.0,43.0,1023.0,3.6052631578947367,2.422734197119434,10.873465749253038,462.27697368421036,329.6771984254316,1451.308568960505,0.514976490131579,0.2641883356716279,1.3075414971464627,2.4671052631578947,1.9864366684726977,8.426415268575987,431.9493421052631,334.2829724872753,1434.798259567089,0.5101691710526316,0.2641109826577238,1.302502119025803,184.8538283062645,404.47710657951694,1398.2851480448153,8443.413668677495,16161.95329929803,56929.27356657158,0.6603349046867749,0.7524510757155858,2.9176881318335326,244.79094076655053,424.6028809264839,1518.5995835460021,11026.007432055749,17586.35399298671,63785.06941101588,0.8814458614634146,0.7858096746471456,3.2388748854048512
iBot128 20190710 142112,128.0,2019.0,7.0,10.0,14.0,21.0,12.0,1023.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,498.5863309352518,978.8874682088967,3435.248735561942,15766.25176618705,28009.18726079076,99793.81354855934,0.5540377300899281,0.895784172901789,3.2413902487952955,141.40128755364807,554.3800450240965,1804.5414226259375,4002.2535793991415,13538.1896060882,44616.822397663746,0.8120768462660944,0.5128450760689732,2.350612074473014
iBot128 20190709 135530,128.0,2019.0,7.0,9.0,13.0,55.0,30.0,1023.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.118568232662192,13.096974959982044,44.409493112608324,729.3667744966443,1196.9118761797415,4320.1024030358685,0.4745318432662192,0.6737113213350263,2.4956658072712985,37.08869565217391,131.68486347793217,432.14328608597043,1619.781475478261,3521.2809543242524,12183.624338451018,1.2358196973391304,0.7223750428005562,3.402944825740799
iBot126 20190710 140420,126.0,2019.0,7.0,10.0,14.0,4.0,20.0,1023.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.04017857142858,418.4261800852436,1441.3187188271593,8382.103886160714,16557.839808191573,58055.623310735435,0.49796078676339284,0.8112199022785288,2.931620493598979,134.33275261324042,352.0283371612102,1190.417764096871,6076.36300087108,14151.217413895356,48530.01524255715,0.6112505902264809,0.6325557813101425,2.5089179341569086
iBot126 20190710 164910,126.0,2019.0,7.0,10.0,16.0,49.0,10.0,1023.0,3.5657894736842106,2.3435724488342196,10.59650682018687,464.0190789473687,348.38449409567295,1509.1725612343876,0.5003336226973685,0.2602781283842329,1.2811680078500673,2.4276315789473686,2.025015652573666,8.502678536668366,444.62302631578973,339.7965527795224,1464.012684654357,0.5109069243421053,0.2574028258002655,1.2831154017429018,188.52214452214452,416.61546020445707,1438.3685251355157,8709.436665034966,16510.12911386818,58239.82400663951,0.6513170423076923,0.7406748074888089,2.8733414647741187,252.43598615916954,438.8946464072492,1569.119925380917,11223.765370242214,17944.37625867592,65056.89414626997,0.8983612348442906,0.7931366209146224,3.277771097588158
iBot126 20190710 165011,126.0,2019.0,7.0,10.0,16.0,50.0,11.0,1023.0,3.5526315789473686,2.318338848331906,10.507648123943087,461.5644736842108,325.1778183762838,1437.0979288130623,0.5093468480263158,0.2633124350106761,1.2992841530583439,2.4276315789473686,1.9517422126632222,8.282858216937035,428.275657894737,343.45492026060697,1458.6404186765578,0.5124624394736842,0.258062000731281,1.286648441667527,184.9767981438515,408.2801243332061,1409.81717114347,8513.67217099768,16253.447820313782,57274.01563193902,0.6347827924129931,0.7759432204676432,2.9626124538159226,244.73170731707316,423.9510557805282,1516.5848746586578,11000.00541045296,17605.861518918253,63817.58996720772,0.9016947492334495,0.7801914942665954,3.2422692320332356
iBot126 20190710 165352,126.0,2019.0,7.0,10.0,16.0,53.0,52.0,1023.0,3.5098039215686274,2.400980191995124,10.712744497553999,467.3601307189546,349.308757318588,1515.2864026747186,0.5100513646405229,0.2654759928916942,1.3064793433156057,2.496732026143791,1.947076698833056,8.337962122642958,445.0601307189543,320.36124435834085,1406.1438637939768,0.5112044943137255,0.25715567670867856,1.282671524439761,186.096018735363,407.6676850855186,1409.0990739919189,8521.095752693209,16283.618712796822,57371.95189108368,0.6642036795784544,0.759573573421839,2.9429243998439714,241.69204152249134,420.80027754538855,1504.092874158657,10953.041371280277,17491.835577235575,63428.548102987006,0.8184380322145328,0.7660471747582034,3.116579556489143
iBot126 20190710 165352,126,2019,07,10,16,53,52,1023,3.5098039215686274,2.400980191995124,10.712744497553999,467.3601307189546,349.308757318588,1515.2864026747186,0.5100513646405229,0.2654759928916942,1.3064793433156057,2.496732026143791,1.947076698833056,8.337962122642958,445.0601307189543,320.36124435834085,1406.1438637939768,0.5112044943137255,0.25715567670867856,1.282671524439761,186.096018735363,407.6676850855186,1409.0990739919189,8521.095752693209,16283.618712796822,57371.95189108368,0.6642036795784544,0.759573573421839,2.9429243998439714,241.69204152249134,420.80027754538855,1504.092874158657,10953.041371280277,17491.835577235575,63428.548102987006,0.8184380322145328,0.7660471747582034,3.116579556489143
